,d12,d23,d13,node2,angle,latitude,longitude,time
105,111.0773580112975,110.9286839439456,221.86870949641963,"(39.91175751486325, 116.35565837053846)",175.9691692388727,39.91175751486325,116.35565837053846,2022-02-07 15:06:26
106,110.9286839439456,55.149485253312434,165.5383591100541,"(39.91267843349719, 116.35616136304431)",170.187052508075,39.91267843349719,116.35616136304431,2022-02-07 15:06:38
107,55.149485253312434,281.39395795267643,227.2469608149283,"(39.91316240005493, 116.35630644617233)",9.818613856028271,39.91316240005493,116.35630644617233,2022-02-07 16:38:55
108,281.39395795267643,525.6142797553744,605.0241722468351,"(39.91082639052937, 116.35503021210404)",92.05382601116318,39.91082639052937,116.35503021210404,2022-02-07 16:38:58
109,525.6142797553744,560.9680638435832,232.91006291909775,"(39.90883533524509, 116.36060714805208)",24.47676160646959,39.90883533524509,116.36060714805208,2022-02-07 16:39:03
110,560.9680638435832,51.31139601159212,594.3776395079009,"(39.912668481841486, 116.35633326187828)",128.6652097267301,39.912668481841486,116.35633326187828,2022-02-07 16:39:20
111,51.31139601159212,202.70013394470902,188.29280448590686,"(39.913122599750146, 116.35644450890183)",66.58592186232019,39.913122599750146,116.35644450890183,2022-02-07 17:46:53
112,202.70013394470902,173.56936161525704,54.938883239233974,"(39.91272026454238, 116.35413209844971)",14.26524036161704,39.91272026454238,116.35413209844971,2022-02-07 17:47:06
113,173.56936161525704,110.9286839439456,168.69337648246696,"(39.91267843349719, 116.35616136304431)",68.72220843908428,39.91267843349719,116.35616136304431,2022-02-07 17:47:16
114,110.9286839439456,111.0773580112975,221.86870949641963,"(39.91175751486325, 116.35565837053846)",175.9691692388727,39.91175751486325,116.35565837053846,2022-02-07 17:50:13
115,111.0773580112975,234.139048897362,193.30645737555525,"(39.91081037738757, 116.35524013741313)",55.05745917284937,39.91081037738757,116.35524013741313,2022-02-07 17:50:22
116,234.139048897362,232.66606386935106,226.49519139411424,"(39.912510355281135, 116.35361986417465)",58.05050447726753,39.912510355281135,116.35361986417465,2022-02-07 17:50:27
117,232.66606386935106,226.49519139411424,234.139048897362,"(39.912668481841486, 116.35633326187828)",61.300567468114885,39.912668481841486,116.35633326187828,2022-02-07 17:51:03
118,226.49519139411424,111.0773580112975,116.45036922947105,"(39.91081037738757, 116.35524013741313)",5.591468095587541,39.91081037738757,116.35524013741313,2022-02-07 17:52:29
119,111.0773580112975,110.4864332243016,221.51659193856992,"(39.91175751486325, 116.35565837053846)",177.6346472653388,39.91175751486325,116.35565837053846,2022-02-07 17:52:32
120,110.4864332243016,574.1676980277955,533.2232215884746,"(39.91268558730978, 116.35612452706577)",63.02608338853947,39.91268558730978,116.35612452706577,2022-02-07 17:53:21
121,574.1676980277955,508.6161778780504,221.51659193856992,"(39.90883533524509, 116.36060714805208)",22.580236545346136,39.90883533524509,116.36060714805208,2022-02-07 18:15:10
122,508.6161778780504,276.6156165727766,594.3776395079009,"(39.91081037738757, 116.35524013741313)",93.68365808976903,39.91081037738757,116.35524013741313,2022-02-07 18:15:13
123,276.6156165727766,202.70013394470902,232.26178533335764,"(39.913122599750146, 116.35644450890183)",55.4124235167428,39.913122599750146,116.35644450890183,2022-02-07 18:18:17
124,202.70013394470902,173.56936161525704,54.938883239233974,"(39.91272026454238, 116.35413209844971)",14.26524036161704,39.91272026454238,116.35413209844971,2022-02-07 18:18:19
125,173.56936161525704,27.64597765055404,176.4221787683353,"(39.91267843349719, 116.35616136304431)",91.39812712144484,39.91267843349719,116.35616136304431,2022-02-07 18:18:22
126,27.64597765055404,196.2430256284445,221.86870949641963,"(39.91242944525336, 116.35616059606346)",156.49194260434302,39.91242944525336,116.35616059606346,2022-02-07 18:25:36
127,196.2430256284445,14.520189324072037,195.49653762551824,"(39.91081037738757, 116.35524013741313)",84.9337249705645,39.91081037738757,116.35524013741313,2022-02-07 18:27:57
128,14.520189324072037,220.87333199221956,232.26178533335764,"(39.910873197235055, 116.3550911965695)",140.5039740427464,39.910873197235055,116.3550911965695,2022-02-07 18:28:01
129,220.87333199221956,232.26178533335764,14.520189324072037,"(39.91272026454238, 116.35413209844971)",2.278794051994803,39.91272026454238,116.35413209844971,2022-02-07 18:28:17
130,232.26178533335764,276.15967163362785,275.11925960204076,"(39.91081037738757, 116.35524013741313)",64.84985118879041,39.91081037738757,116.35524013741313,2022-02-07 18:28:22
131,276.15967163362785,1.0158263222369672,277.16477065604937,"(39.912693806221554, 116.35734959019919)",171.65069137039208,39.912693806221554,116.35734959019919,2022-02-07 18:28:31
132,1.0158263222369672,367.1474265000378,366.135418270917,"(39.912699793054166, 116.35735857395673)",4.962339721068917,39.912699793054166,116.35735857395673,2022-02-07 18:28:58
133,367.1474265000378,73.50202840254772,309.5672681577245,"(39.91076033118944, 116.35388080729656)",34.709328902993924,39.91076033118944,116.35388080729656,2022-02-07 18:29:00
134,73.50202840254772,212.5553475757014,227.29718169083617,"(39.91077422808866, 116.35474024136505)",91.9838496357454,39.91077422808866,116.35474024136505,2022-02-07 18:29:05
135,212.5553475757014,368.7582192203911,432.4962505505345,"(39.91268839513264, 116.35477413675584)",92.1534818454419,39.91268839513264,116.35477413675584,2022-02-07 18:30:26
136,368.7582192203911,228.5225648986827,448.7542265628095,"(39.91276784843658, 116.35908573946499)",94.48354305224356,39.91276784843658,116.35908573946499,2022-02-07 18:32:18
137,228.5225648986827,249.9286815651109,471.77927757852143,"(39.914822959564155, 116.35923093661158)",160.82122102107718,39.914822959564155,116.35923093661158,2022-02-07 18:33:35
138,249.9286815651109,12.410234917985445,262.3361669230592,"(39.91698599844144, 116.35842201509115)",178.76429854908667,39.91698599844144,116.35842201509115,2022-02-07 18:35:08
139,12.410234917985445,596.0623914260999,607.7699772364138,"(39.917094046236215, 116.35838486405378)",160.43052588075903,39.917094046236215,116.35838486405378,2022-02-07 18:36:19
